0	Brace Yourself!
1	Camellia Hag's Song
2	Brave New World
3	Probably a Bolero
4	Fee Fi Fo Hum Walk
5	I Like Food!
6	Tadah!
7	Springtime for Bozos
8	How Much Art?
9	March of the Lost
10	Moonlight Sonata
11	I Want That
12	At My Job
13	Tom's Restaurant
14	Eggan of the Past
15	Green Jelly
16	Twinkle Twinkle Star
17	Pastorale
18	Wish
19	Fostering Gang Wars
20	You're Cala-mine
21	Cut and Run
22	Insomniac Lullaby
23	Address Unknown
24	Jovial Ganymede
25	Hi, You're Dead
26	Nostalgia
27	Tipopo's Rhapsody
28	Hope this is Goodbye
29	This is Destiny
