0	Nothing
2	Corobo's Scepter
9	Hardened Soldier Sword
12	Grunt Soldier Sword
15	Steel Knight Sword
20	Rainbow Wizard Staff
21	Hardworking Farmer Hoe
23	Animal Hunter Bow
29	Buff Lumberjack Axe
31	Ripped Miner Pickaxe
32	Giga Carpenter Hammer
33	Gourmet Cook Pan
40	Regular Carpenter Mallet
41	Mega Carpenter Hammer
47	Gourmet Cook Pan (Unused)
49	Brainy Doctor Syringe
50	Eggan Spoon
51	Broadcaster Microphone
55	Mountie Chimney Sweep
56	Green Craftian Pencil
48	Magenta Craftian Pencil
69	Onii Man Club
80	Rat King Battle: Skull
81	Rat King Battle: Bone
83	Nothing (Placeholder)
84	Nothing (Placeholder)
107	Grunt Soldier Helmet
110	Hardened Soldier Helmet
113	Steel Knight Helmet
117	Rainbow Wizard Hat
121	Hardworking Farmer Hat
122	Animal Hunter Hat
125	Buff Lumberjack Hat
126	Ripped Miner Hat
127	Gourmet Cook Hat
128	Savvy Merchant Hood
134	Brainy Doctor Head
135	Regular Carpenter Hat
136	Eggan Eggshell
137	Mountie Mountaintop
138	Broadcaster Antenna
139	Craftian(?) Helmet (Unused?)
140	Giga Carpenter Head
141	Mega Carpenter Mask
142	Brainy Nurse Hat
143	Wedding Hat (Patterned)
144	Wedding Hat (Pink)
145	Wedding Hat (Green)
146	Funeral Hat
159	Onii Horn
160	Green Windmill Hat (Unused)
161	Yellow Windmill Hat (Unused)
162	Cow Skull
163	Stone Cairn
164	Sake Bottle and Plate
165	Strawberry Crown
166	Propeller
168	Crown
300	Howser's Helmet
301	Howser's Lance
302	Verde's Quill
500	Shovel
501	Construction Hammer
502	Demolition Hammer (Unused?)
710	Pancho's Letter
1000	Skinny Ray's Hammer
1001	Skinny Ray's Headgear (Empty)
1022	Skinny Ray's Penny-Farthing
1002	Kampbell's Maraca
1003	Kampbell's Headgear (Empty)
1004	Corobo's Mother's Item (Empty)
1005	Corobo's Mother's Headgear (Empty)
1006	Apricot's Lollipop
1007	Apricot's Headgear (Empty)
1008	Scarlet's Item (Empty)
1009	Scarlet's Headgear (Empty)
1010	Kokomo Pine's Item (Empty)
1011	Kokomo Pine's Headgear (Empty)
1012	Shizuka's Item (Empty)
1013	Shizuka's Headgear (Empty)
1014	Spumoni's Item (Empty)
1015	Spumoni's Headgear (Empty)
1016	Martel's Item (Empty)
1017	Martel's Headgear (Empty)
1018	Ferne's Item (Empty)
1019	Ferne's Headgear (Empty)
1020	Liam's Stick (Unused)
1021	Liam's Headgear (Empty)
1023	Ginger's Easel
1024	Ginger's Headgear (Empty)
1025	Mr. M's Item (Empty)
1026	Mr. M's Headgear (Empty)
2000	Cure-in
2001	Attack-in
2002	Move-in
2003	Bomb-run
2004	Guard-in
2005	Back-run
2006	Dummy Scroll 4
2007	Dummy Scroll 3
2008	Dummy Scroll 2
2009	Dummy Scroll 1
2010	Gold Coins
2011	Bag of Coins
2012	Gold Bar
2013	Precious Treasure
2014	Golden Treasure
2015	1kg Gold Bar
2016	3kg Gold Bar
2017	5kg Gold Bar
2018	Hidden Gold
2019	National Treasure
2020	Rough Stone
2021	Sharp Stone
2022	Black Stone
2023	Smooth Stone
2024	Shiny Stone
2025	Good Stick
2026	Wooden Board
2027	Log
2028	White Lumber
2029	Good Lumber
2030	Torn Cloth
2031	Denim
2032	Corduroy
2033	Tapestry
